emoji,en,clean_en,zh-TW,zh
🍴,:fork_and_knife:,fork and knife,刀叉,:刀叉:
🍽️,:fork_and_knife_with_plate:,fork and knife with plate,帶盤子的刀叉,:餐具:
🍽,:fork_and_knife_with_plate:,fork and knife with plate,帶盤子的刀叉,:餐具:
🖋,:fountain_pen:,fountain pen,鋼筆,:钢笔:
🍀,:four_leaf_clover:,four leaf clover,四葉草,:四叶草:
🕓,:four_o’clock:,four o’clock,四點鐘,:四点:
🦊,:fox:,fox,狐狸,:狐狸:
🖼,:framed_picture:,framed picture,帶框的圖片,:带框的画:
🍟,:french_fries:,french fries,炸薯條,:薯条:
🍤,:fried_shrimp:,fried shrimp,炒蝦仁,:天妇罗:
🐸,:frog:,frog,青蛙,:青蛙:
🐥,:front-facing_baby_chick:,front-facing baby chick,正面小雞,:正面朝向的小鸡:
☹️,:frowning_face:,frowning face,皺眉的臉,:不满:
😦,:frowning_face_with_open_mouth:,frowning face with open mouth,皺著眉頭張開嘴巴,:啊:
⛽,:fuel_pump:,fuel pump,燃油泵,:油泵:
🌕,:full_moon:,full moon,滿月,:满月:
🌝,:full_moon_face:,full moon face,滿月臉,:微笑的月亮:
🧄,:garlic:,garlic,蒜,:蒜:
💎,:gem_stone:,gem stone,寶石,:宝石:
👻,:ghost:,ghost,鬼,:鬼:
🦒,:giraffe:,giraffe,長頸鹿,:长颈鹿:
👧,:girl:,girl,女孩,:女孩:
👧🏻,:girl_light_skin_tone:,girl light skin tone,女孩淺膚色,:女孩_较浅肤色:
🥛,:glass_of_milk:,glass of milk,一杯牛奶,:一杯奶:
👓,:glasses:,glasses,眼鏡,:眼镜:
🌏,:globe_showing_Asia-Australia:,globe showing Asia-Australia,顯示亞洲-澳大利亞的地球儀,:地球上的亚洲澳洲:
🌍,:globe_showing_Europe-Africa:,globe showing Europe-Africa,顯示歐洲-非洲的地球儀,:地球上的欧洲非洲:
🧤,:gloves:,gloves,手套,:手套:
🌟,:glowing_star:,glowing star,發光的星星,:闪亮的星星:
🐐,:goat:,goat,山羊,:山羊:
👺,:goblin:,goblin,地精,:小妖精:
🦍,:gorilla:,gorilla,大猩猩,:大猩猩:
🎓,:graduation_cap:,graduation cap,畢業帽,:毕业帽:
🍇,:grapes:,grapes,葡萄,:葡萄:
🍏,:green_apple:,green apple,青蘋果,:青苹果:
📗,:green_book:,green book,綠皮書,:绿色书本:
🟢,:green_circle:,green circle,綠色圓圈,:绿色圆:
💚,:green_heart:,green heart,綠心,:绿心:
🥗,:green_salad:,green salad,綠色的沙拉,:绿色沙拉:
😬,:grimacing_face:,grimacing face,鬼臉,:龇牙咧嘴:
😺,:grinning_cat:,grinning cat,咧著嘴笑的貓,:大笑的猫:
😸,:grinning_cat_with_smiling_eyes:,grinning cat with smiling eyes,微笑的眼睛咧嘴笑的貓,:微笑的猫:
😀,:grinning_face:,grinning face,笑臉,:嘿嘿:
😃,:grinning_face_with_big_eyes:,grinning face with big eyes,大眼睛笑臉,:哈哈:
😄,:grinning_face_with_smiling_eyes:,grinning face with smiling eyes,笑容滿面的眼睛,:大笑:
😅,:grinning_face_with_sweat:,grinning face with sweat,汗流浹背的笑臉,:苦笑:
😆,:grinning_squinting_face:,grinning squinting face,咧著嘴笑的臉,:斜眼笑:
💗,:growing_heart:,growing heart,成長的心,:搏动的心:
💂,:guard:,guard,警衛,:卫兵:
🍔,:hamburger:,hamburger,漢堡包,:汉堡:
🔨,:hammer:,hammer,錘子,:锤子:
🐹,:hamster:,hamster,倉鼠,:仓鼠:
🖐️,:hand_with_fingers_splayed:,hand with fingers splayed,張開手指的手,:手掌:
🖐,:hand_with_fingers_splayed:,hand with fingers splayed,張開手指的手,:手掌:
🖐🏻,:hand_with_fingers_splayed_light_skin_tone:,hand with fingers splayed light skin tone,手指張開的手淺膚色,:手掌_较浅肤色:
🫰🏻,:hand_with_index_finger_and_thumb_crossed_light_skin_tone:,hand with index finger and thumb crossed light skin tone,食指和拇指交叉的手 淺膚色,
🫰🏾,:hand_with_index_finger_and_thumb_crossed_medium-dark_skin_tone:,hand with index finger and thumb crossed medium-dark skin tone,食指和拇指交叉的手中深膚色,
👜,:handbag:,handbag,手提包,:手提包:
🤝,:handshake:,handshake,握手,:握手:
🐣,:hatching_chick:,hatching chick,孵化小雞,:小鸡破壳:
🎧,:headphone:,headphone,耳機,:耳机:
🙉,:hear-no-evil_monkey:,hear-no-evil monkey,不聽邪言的猴子,:非礼勿听:
💟,:heart_decoration:,heart decoration,心形裝飾,:心型装饰:
❣️,:heart_exclamation:,heart exclamation,心驚呼,:心叹号:
❣,:heart_exclamation:,heart exclamation,心驚呼,:心叹号:
🫶,:heart_hands:,heart hands,心手,:做成心形的双手:
🫶🏿,:heart_hands_dark_skin_tone:,heart hands dark skin tone,心形手深色膚色,
🫶🏻,:heart_hands_light_skin_tone:,heart hands light skin tone,心形手淺膚色,
🫶🏾,:heart_hands_medium-dark_skin_tone:,heart hands medium-dark skin tone,心形手中深膚色,
❤️‍🔥,:heart_on_fire:,heart on fire,心臟著火,:火上之心:
♥️,:heart_suit:,heart suit,心套裝,:红桃:
♥,:heart_suit:,heart suit,心套裝,:红桃:
💘,:heart_with_arrow:,heart with arrow,帶箭頭的心,:心中箭了:
💝,:heart_with_ribbon:,heart with ribbon,帶絲帶的心,:系有缎带的心:
💲,:heavy_dollar_sign:,heavy dollar sign,沉重的美元符號,:粗美元符号:
🦔,:hedgehog:,hedgehog,刺猬,:刺猬:
🚁,:helicopter:,helicopter,直升機,:直升机:
🌿,:herb:,herb,草本植物,:药草:
🌺,:hibiscus:,hibiscus,木槿,:芙蓉:
👠,:high-heeled_shoe:,high-heeled shoe,高跟鞋,:高跟鞋:
🚄,:high-speed_train:,high-speed train,高速火車,:高速列车:
⚡,:high_voltage:,high voltage,高壓,:高压:
🥾,:hiking_boot:,hiking boot,登山靴,:登山鞋:
🛕,:hindu_temple:,hindu temple,印度教寺廟,:印度寺庙:
🦛,:hippopotamus:,hippopotamus,河馬,:河马:
🕳️,:hole:,hole,洞,:洞:
⭕,:hollow_red_circle:,hollow red circle,空心紅圈,:红色空心圆圈:
🍯,:honey_pot:,honey pot,蜜罐,:蜂蜜:
🐝,:honeybee:,honeybee,蜜蜂,:蜜蜂:
🐎,:horse:,horse,馬,:马:
🏥,:hospital:,hospital,醫院,:医院:
☕,:hot_beverage:,hot beverage,熱飲,:热饮:
🥵,:hot_face:,hot face,燙臉,:脸发烧:
🌶️,:hot_pepper:,hot pepper,辣椒,:红辣椒:
🌶,:hot_pepper:,hot pepper,辣椒,:红辣椒:
♨️,:hot_springs:,hot springs,溫泉,:温泉:
♨,:hot_springs:,hot springs,溫泉,:温泉:
⌛,:hourglass_done:,hourglass done,沙漏完成,:沙漏:
⏳,:hourglass_not_done:,hourglass not done,沙漏未完成,:沙正往下流的沙漏:
🏠,:house:,house,房子,:房子:
🏡,:house_with_garden:,house with garden,帶花園的房子,:别墅:
💯,:hundred_points:,hundred points,百分,:一百分:
😯,:hushed_face:,hushed face,沉默的臉,:缄默:
🧊,:ice:,ice,冰,:冰块:
☝️,:index_pointing_up:,index pointing up,指數向上,:食指向上指:
☝🏻,:index_pointing_up_light_skin_tone:,index pointing up light skin tone,指數朝上淺膚色,:食指向上指_较浅肤色:
☝🏼,:index_pointing_up_medium-light_skin_tone:,index pointing up medium-light skin tone,指數朝上 中淺膚色,:食指向上指_中等浅肤色:
ℹ️,:information:,information,信息,:信息:
🎃,:jack-o-lantern:,jack-o-lantern,南瓜燈,:南瓜灯:
👖,:jeans:,jeans,牛仔褲,:牛仔裤:
🃏,:joker:,joker,小丑,:大小王:
⌨️,:keyboard:,keyboard,鍵盤,:键盘:
*️⃣,:keycap_*:,keycap *,鍵帽*,:按键_*:
0️⃣,:keycap_0:,keycap 0,鍵帽 0,:按键_0:
1️⃣,:keycap_1:,keycap 1,鍵帽1,:按键_1:
1⃣,:keycap_1:,keycap 1,鍵帽1,
🔟,:keycap_10:,keycap 10,鍵帽 10,:按键_10:
2️⃣,:keycap_2:,keycap 2,鍵帽2,:按键_2:
2⃣,:keycap_2:,keycap 2,鍵帽2,
3️⃣,:keycap_3:,keycap 3,鍵帽3,:按键_3:
3⃣,:keycap_3:,keycap 3,鍵帽3,
4️⃣,:keycap_4:,keycap 4,鍵帽4,:按键_4:
4⃣,:keycap_4:,keycap 4,鍵帽4,
5️⃣,:keycap_5:,keycap 5,鍵帽 5,:按键_5:
5⃣,:keycap_5:,keycap 5,鍵帽 5,
6️⃣,:keycap_6:,keycap 6,鍵帽 6,:按键_6:
6⃣,:keycap_6:,keycap 6,鍵帽 6,
7️⃣,:keycap_7:,keycap 7,鍵帽 7,:按键_7:
7⃣,:keycap_7:,keycap 7,鍵帽 7,
8️⃣,:keycap_8:,keycap 8,鍵帽8,:按键_8:
8⃣,:keycap_8:,keycap 8,鍵帽8,
9️⃣,:keycap_9:,keycap 9,鍵帽 9,:按键_9:
👘,:kimono:,kimono,和服,:和服:
💏,:kiss:,kiss,吻,:亲吻:
💋,:kiss_mark:,kiss mark,吻痕,:唇印:
👩‍❤️‍💋‍👨,:kiss_woman_man:,kiss woman man,親吻女人男人,:亲吻_女人男人:
😽,:kissing_cat:,kissing cat,接吻貓,:亲亲猫:
😗,:kissing_face:,kissing face,親臉,:亲亲:
😚,:kissing_face_with_closed_eyes:,kissing face with closed eyes,閉著眼睛親吻臉,:羞涩亲亲:
😙,:kissing_face_with_smiling_eyes:,kissing face with smiling eyes,用微笑的眼睛親吻臉,:微笑亲亲:
🔪,:kitchen_knife:,kitchen knife,菜刀,:菜刀:
🪁,:kite:,kite,風箏,:风筝:
🥝,:kiwi_fruit:,kiwi fruit,奇異果,:猕猴桃:
🪢,:knot:,knot,結,:结:
🐨,:koala:,koala,考拉,:考拉:
🥼,:lab_coat:,lab coat,實驗工作服,:白大褂:
🏷️,:label:,label,標籤,:标签:
🏷,:label:,label,標籤,:标签:
💻,:laptop:,laptop,筆記本電腦,:笔记本电脑:
🔷,:large_blue_diamond:,large blue diamond,大藍鑽,:蓝色大菱形:
🔶,:large_orange_diamond:,large orange diamond,大橙色鑽石,:橙色大菱形:
🌗,:last_quarter_moon:,last quarter moon,上弦月,:下弦月:
🍃,:leaf_fluttering_in_wind:,leaf fluttering in wind,葉子在風中飄揚,:风吹叶落:
🥬,:leafy_green:,leafy green,綠葉,:绿叶蔬菜:
📒,:ledger:,ledger,賬本,:账本:
🤛🏻,:left-facing_fist_light_skin_tone:,left-facing fist light skin tone,朝左的拳頭淺膚色,:朝左的拳头_较浅肤色:
🤛🏼,:left-facing_fist_medium-light_skin_tone:,left-facing fist medium-light skin tone,左手握拳中淺膚色,:朝左的拳头_中等浅肤色:
⬅️,:left_arrow:,left arrow,左箭頭,:向左箭头:
🦵,:leg:,leg,腿,:腿:
🦵🏻,:leg_light_skin_tone:,leg light skin tone,腿部淺膚色,:腿_较浅肤色:
🍋,:lemon:,lemon,檸檬,:柠檬:
🐆,:leopard:,leopard,豹,:豹子:
💡,:light_bulb:,light bulb,燈泡,:灯泡:
🔗,:link:,link,關聯,:链接:
🦁,:lion:,lion,獅子,:狮子:
💄,:lipstick:,lipstick,口紅,:唇膏:
🦙,:llama:,llama,駱駝,:美洲鸵:
🦞,:lobster:,lobster,龍蝦,:龙虾:
🚂,:locomotive:,locomotive,機車,:蒸汽火车:
🍭,:lollipop:,lollipop,棒糖,:棒棒糖:
🧴,:lotion_bottle:,lotion bottle,乳液瓶,:乳液瓶:
😭,:loudly_crying_face:,loudly crying face,大聲哭泣的臉,:放声大哭:
📢,:loudspeaker:,loudspeaker,喇叭,:喇叭:
🤟,:love-you_gesture:,love-you gesture,愛你的手勢,:爱你的手势:
🤟🏻,:love-you_gesture_light_skin_tone:,love-you gesture light skin tone,愛你的手勢淺膚色,:爱你的手势_较浅肤色:
🤟🏼,:love-you_gesture_medium-light_skin_tone:,love-you gesture medium-light skin tone,愛你的手勢中淺膚色,:爱你的手势_中等浅肤色:
🤟🏽,:love-you_gesture_medium_skin_tone:,love-you gesture medium skin tone,愛你的手勢中等膚色,:爱你的手势_中等肤色:
💌,:love_letter:,love letter,愛情信,:情书:
🧳,:luggage:,luggage,行李,:行李箱:
🧙🏻,:mage_light_skin_tone:,mage light skin tone,法師淺膚色,:法师_较浅肤色:
🪄,:magic_wand:,magic wand,魔法棒,:魔棒:
🔍,:magnifying_glass_tilted_left:,magnifying glass tilted left,放大鏡向左傾斜,:左斜的放大镜:
🔎,:magnifying_glass_tilted_right:,magnifying glass tilted right,放大鏡向右傾斜,:右斜的放大镜:
🀄,:mahjong_red_dragon:,mahjong red dragon,麻將紅龍,:红中:
👨,:man:,man,男人,:男人:
👨‍🎨,:man_artist:,man artist,男藝術家,:男艺术家:
👨‍🚀,:man_astronaut:,man astronaut,宇航員,:男宇航员:
👱‍♂️,:man_blond_hair:,man blond hair,男人金發,:金发男:
🙇‍♂️,:man_bowing:,man bowing,男子鞠躬,:男生鞠躬:
🙇🏻‍♂️,:man_bowing_light_skin_tone:,man bowing light skin tone,鞠躬的男人淺膚色,:男生鞠躬_较浅肤色:
🙇🏼‍♂️,:man_bowing_medium-light_skin_tone:,man bowing medium-light skin tone,鞠躬的男人中淺膚色,:男生鞠躬_中等浅肤色:
🤸‍♂️,:man_cartwheeling:,man cartwheeling,男人側手翻,:男生侧手翻:
🤸🏻‍♂️,:man_cartwheeling_light_skin_tone:,man cartwheeling light skin tone,男人側手翻較淺膚色,:男生侧手翻_较浅肤色:
🧗‍♂️,:man_climbing:,man climbing,男子攀登,:攀爬的男人:
👨‍🍳,:man_cook:,man cook,男廚師,:男厨师:
🕺,:man_dancing:,man dancing,男人跳舞,:跳舞的男人:
🕺🏻,:man_dancing_light_skin_tone:,man dancing light skin tone,跳舞的男人淺膚色,:跳舞的男人_较浅肤色:
🕺🏼,:man_dancing_medium-light_skin_tone:,man dancing medium-light skin tone,跳舞的男人中淺膚色,:跳舞的男人_中等浅肤色:
👨🏿,:man_dark_skin_tone:,man dark skin tone,男人深色膚色,:男人_较深肤色:
🤦‍♂️,:man_facepalming:,man facepalming,男人捂臉,:男生捂脸:
🤦🏻‍♂️,:man_facepalming_light_skin_tone:,man facepalming light skin tone,男人捂臉淺膚色,:男生捂脸_较浅肤色:
🤦🏼‍♂️,:man_facepalming_medium-light_skin_tone:,man facepalming medium-light skin tone,男人捂臉中淺膚色,:男生捂脸_中等浅肤色:
🤦🏽‍♂️,:man_facepalming_medium_skin_tone:,man facepalming medium skin tone,男人捂臉中等膚色,:男生捂脸_中等肤色:
🧚🏻‍♂️,:man_fairy_light_skin_tone:,man fairy light skin tone,男仙女淺膚色,:仙人_较浅肤色:
🙍‍♂️,:man_frowning:,man frowning,男人皺著眉頭,:皱眉男:
🙅‍♂️,:man_gesturing_NO:,man gesturing NO,男人打手勢不,:禁止手势男:
🙆‍♂️,:man_gesturing_OK:,man gesturing OK,男人打手勢 OK,:OK手势男:
🙆🏻‍♂️,:man_gesturing_OK_light_skin_tone:,man gesturing OK light skin tone,男人打手勢 OK 淺膚色,:OK手势男_较浅肤色:
🙆🏽‍♂️,:man_gesturing_OK_medium_skin_tone:,man gesturing OK medium skin tone,男人做 OK 手勢 中等膚色,:OK手势男_中等肤色:
👨‍⚕️,:man_health_worker:,man health worker,男保健員,:男医生:
🤹‍♂️,:man_juggling:,man juggling,男子雜耍,:男生抛接杂耍:
🏋‍♂️,:man_lifting_weights:,man lifting weights,男子舉重,:男生举重:
👨🏻,:man_light_skin_tone:,man light skin tone,男人淺膚色,:男人_较浅肤色:
👨🏻‍🦳,:man_light_skin_tone_white_hair:,man light skin tone white hair,男人淺膚色白頭髮,:男人_较浅肤色白发:
👨🏻‍✈️,:man_pilot_light_skin_tone:,man pilot light skin tone,男飛行員淺膚色,:男飞行员_较浅肤色:
🙎‍♂️,:man_pouting:,man pouting,噘嘴的男人,:撅嘴男:
🙎🏻‍♂️,:man_pouting_light_skin_tone:,man pouting light skin tone,男人噘嘴 淺膚色,:撅嘴男_较浅肤色:
🙎🏼‍♂️,:man_pouting_medium-light_skin_tone:,man pouting medium-light skin tone,噘嘴的男人中淺膚色,:撅嘴男_中等浅肤色:
🙋‍♂️,:man_raising_hand:,man raising hand,舉手的人,:男生举手:
🙋🏿‍♂️,:man_raising_hand_dark_skin_tone:,man raising hand dark skin tone,舉手的男人深色膚色,:男生举手_较深肤色:
🙋🏻‍♂️,:man_raising_hand_light_skin_tone:,man raising hand light skin tone,舉手的男人淺膚色,:男生举手_较浅肤色:
🏃‍♂️,:man_running:,man running,跑步的人,:男生跑步:
🏃🏻‍♂️,:man_running_light_skin_tone:,man running light skin tone,跑步的男人淺膚色,:男生跑步_较浅肤色:
👨🏻‍🔬,:man_scientist_light_skin_tone:,man scientist light skin tone,男科學家淺膚色,:男科学家_较浅肤色:
🤷‍♂️,:man_shrugging:,man shrugging,男人聳肩,:男生耸肩:
🤷🏻‍♂️,:man_shrugging_light_skin_tone:,man shrugging light skin tone,男人聳肩淺膚色,:男生耸肩_较浅肤色:
🤷🏽‍♂️,:man_shrugging_medium_skin_tone:,man shrugging medium skin tone,男人聳肩中等膚色,:男生耸肩_中等肤色:
🧍🏼‍♂️,:man_standing_medium-light_skin_tone:,man standing medium-light skin tone,站著的男人中淺膚色,:站立的男人_中等浅肤色:
💁🏻‍♂️,:man_tipping_hand_light_skin_tone:,man tipping hand light skin tone,男人傾斜手淺膚色,:前台男_较浅肤色:
🚶🏻‍♂️,:man_walking_light_skin_tone:,man walking light skin tone,走路的男人淺膚色,:男行人_较浅肤色:
👨‍🦳,:man_white_hair:,man white hair,男人白頭髮,:男人_白发:
🧟‍♂,:man_zombie:,man zombie,人殭屍,:男僵尸:
🥭,:mango:,mango,芒果,:芒果:
🕰,:mantelpiece_clock:,mantelpiece clock,壁爐鐘,:座钟:
🍁,:maple_leaf:,maple leaf,楓葉,:枫叶:
🥋,:martial_arts_uniform:,martial arts uniform,武術服,:练武服:
🍖,:meat_on_bone:,meat on bone,骨頭上的肉,:排骨:
🦾,:mechanical_arm:,mechanical arm,機械臂,:机械手臂:
🦿,:mechanical_leg:,mechanical leg,機械腿,:机械腿:
🏼,:medium-light_skin_tone:,medium-light skin tone,中淺膚色,:中等浅肤色:
📣,:megaphone:,megaphone,擴音器,:扩音器:
🍈,:melon:,melon,瓜,:甜瓜:
🫠,:melting_face:,melting face,融化的臉,:融化:
📝,:memo:,memo,備忘錄,:备忘录:
👬,:men_holding_hands:,men holding hands,手牽著手的男人,:手拉手的两个男人:
👬🏻,:men_holding_hands_light_skin_tone:,men holding hands light skin tone,手拉手的男士淺膚色,:手拉手的两个男人_较浅肤色:
👯‍♂️,:men_with_bunny_ears:,men with bunny ears,兔子耳朵的男人,:兔先生:
🚹,:men’s_room:,men’s room,男廁所,:男厕:
🧜‍♀️,:mermaid:,mermaid,美人魚,:美人鱼:
🧜🏻‍♀️,:mermaid_light_skin_tone:,mermaid light skin tone,美人魚淺膚色,:美人鱼_较浅肤色:
🧜🏼‍♀️,:mermaid_medium-light_skin_tone:,mermaid medium-light skin tone,美人魚中淺膚色,:美人鱼_中等浅肤色:
🧜‍♂️,:merman:,merman,人魚,:男人鱼:
🚇,:metro:,metro,地鐵,:地铁:
🦠,:microbe:,microbe,微生物,:细菌:
🎤,:microphone:,microphone,麥克風,:麦克风:
🪖,:military_helmet:,military helmet,軍用頭盔,:军用头盔:
🌌,:milky_way:,milky way,銀河系,:银河:
➖,:minus:,minus,減,:减:
🪞,:mirror:,mirror,鏡子,:镜子:
🗿,:moai:,moai,摩艾,:摩埃:
📱,:mobile_phone:,mobile phone,手機,:手机:
📴,:mobile_phone_off:,mobile phone off,手機關機,:手机关机:
🤑,:money-mouth_face:,money-mouth face,錢嘴臉,:发财:
💰,:money_bag:,money bag,錢袋子,:钱袋:
💸,:money_with_wings:,money with wings,帶翅膀的錢,:长翅膀的钱:
🐒,:monkey:,monkey,猴,:猴子:
🛥,:motor_boat:,motor boat,摩托艇,:摩托艇:
🛵,:motor_scooter:,motor scooter,小型摩托車,:小型摩托车:
🏍️,:motorcycle:,motorcycle,摩托車,:摩托车:
🏍,:motorcycle:,motorcycle,摩托車,:摩托车:
🗻,:mount_fuji:,mount fuji,富士山,:富士山:
⛰️,:mountain:,mountain,山,:山:
⛰,:mountain:,mountain,山,:山:
🐭,:mouse_face:,mouse face,老鼠臉,:老鼠头:
👄,:mouth:,mouth,嘴,:嘴:
🎥,:movie_camera:,movie camera,電影攝影機,:电影摄影机:
✖️,:multiply:,multiply,乘,:乘:
🍄,:mushroom:,mushroom,蘑菇,:蘑菇:
🎹,:musical_keyboard:,musical keyboard,音樂鍵盤,:音乐键盘:
🎵,:musical_note:,musical note,音符,:音符:
🎶,:musical_notes:,musical notes,音符,:多个音符:
🎼,:musical_score:,musical score,樂譜,:乐谱:
🔇,:muted_speaker:,muted speaker,靜音揚聲器,:已静音的扬声器:
💅,:nail_polish:,nail polish,指甲油,:涂指甲油:
💅🏻,:nail_polish_light_skin_tone:,nail polish light skin tone,指甲油淺膚色,:涂指甲油_较浅肤色:
💅🏼,:nail_polish_medium-light_skin_tone:,nail polish medium-light skin tone,指甲油中淺膚色,:涂指甲油_中等浅肤色:
🏞,:national_park:,national park,國家公園,:国家公园:
🤢,:nauseated_face:,nauseated face,噁心的臉,:恶心:
👔,:necktie:,necktie,領帶,:领带:
🤓,:nerd_face:,nerd face,書呆子臉,:书呆子脸:
😐,:neutral_face:,neutral face,中性臉,:冷漠:
🌑,:new_moon:,new moon,新月,:朔月:
🌚,:new_moon_face:,new moon face,新月臉,:微笑的朔月:
⏭️,:next_track_button:,next track button,下一首曲目按鈕,:下一个音轨按钮:
⏭,:next_track_button:,next track button,下一首曲目按鈕,:下一个音轨按钮:
🌃,:night_with_stars:,night with stars,有星星的夜晚,:夜晚:
🕘,:nine_o’clock:,nine o’clock,九點鐘,:九点:
🥷,:ninja:,ninja,忍者,:忍者:
🥷🏻,:ninja_light_skin_tone:,ninja light skin tone,忍者淺膚色,:忍者_较浅肤色:
⛔,:no_entry:,no entry,禁止駛入,:禁止通行:
🚷,:no_pedestrians:,no pedestrians,行人禁止通行,:禁止行人通行:
🚭,:no_smoking:,no smoking,禁止抽煙,:禁止吸烟:
👃,:nose:,nose,鼻子,:鼻子:
👃🏻,:nose_light_skin_tone:,nose light skin tone,鼻子淺膚色,:鼻子_较浅肤色:
📓,:notebook:,notebook,筆記本,:笔记本:
📔,:notebook_with_decorative_cover:,notebook with decorative cover,帶裝飾封面的筆記本,:精装笔记本:
🐙,:octopus:,octopus,章魚,:章鱼:
🍢,:oden:,oden,關東煮,:关东煮:
👹,:ogre:,ogre,食人魔,:食人魔:
👴🏾,:old_man_medium-dark_skin_tone:,old man medium-dark skin tone,老人中黑膚色,:老爷爷_中等深肤色:
👴🏼,:old_man_medium-light_skin_tone:,old man medium-light skin tone,老人中淺膚色,:老爷爷_中等浅肤色:
👵,:old_woman:,old woman,老太婆,:老奶奶:
👵🏻,:old_woman_light_skin_tone:,old woman light skin tone,老女人淺膚色,:老奶奶_较浅肤色:
🚘,:oncoming_automobile:,oncoming automobile,迎面而來的汽車,:迎面驶来的汽车:
👊,:oncoming_fist:,oncoming fist,迎面而來的拳頭,:出拳:
👊🏻,:oncoming_fist_light_skin_tone:,oncoming fist light skin tone,迎面而來的拳頭淺膚色,:出拳_较浅肤色:
🩱,:one-piece_swimsuit:,one-piece swimsuit,連體泳衣,:连体泳衣:
🕐,:one_o’clock:,one o’clock,一點鐘,:一点:
📖,:open_book:,open book,打開書,:打开的书本:
📂,:open_file_folder:,open file folder,打開文件夾,:打开的文件夹:
👐,:open_hands:,open hands,張開雙手,:张开双手:
👐🏿,:open_hands_dark_skin_tone:,open hands dark skin tone,張開雙手 深色膚色,:张开双手_较深肤色:
👐🏻,:open_hands_light_skin_tone:,open hands light skin tone,張開雙手淺膚色,:张开双手_较浅肤色:
📬,:open_mailbox_with_raised_flag:,open mailbox with raised flag,打開帶有升旗的郵箱,:有新信件:
🧡,:orange_heart:,orange heart,橙心,:橙心:
🦦,:otter:,otter,獺,:水獭:
🦉,:owl:,owl,貓頭鷹,:猫头鹰:
🐂,:ox:,ox,牛,:公牛:
🦪,:oyster:,oyster,牡蠣,:牡蛎:
📦,:package:,package,包裹,:包裹:
🖌,:paintbrush:,paintbrush,畫筆,:画笔:
🌴,:palm_tree:,palm tree,棕櫚樹,:棕榈树:
🫴🏻,:palm_up_hand_light_skin_tone:,palm up hand light skin tone,掌心朝上手較淺膚色,
🤲,:palms_up_together:,palms up together,雙手合十,:掌心向上托起:
🤲🏻,:palms_up_together_light_skin_tone:,palms up together light skin tone,手心向上 淺膚色,:掌心向上托起_较浅肤色:
🥞,:pancakes:,pancakes,薄煎餅,:烙饼:
🐼,:panda:,panda,熊貓,:熊猫:
📎,:paperclip:,paperclip,回形針,:回形针:
🦜,:parrot:,parrot,鸚鵡,:鹦鹉:
🎉,:party_popper:,party popper,禮花,:拉炮彩带:
🥳,:partying_face:,partying face,派對臉,:聚会笑脸:
🐾,:paw_prints:,paw prints,掌印,:爪印:
🍑,:peach:,peach,桃,:桃:
🥜,:peanuts:,peanuts,花生,:花生:
🍐,:pear:,pear,梨,:梨:
✏️,:pencil:,pencil,鉛筆,:铅笔:
✏,:pencil:,pencil,鉛筆,:铅笔:
🐧,:penguin:,penguin,企鵝,:企鹅:
😔,:pensive_face:,pensive face,沉思的臉,:沉思:
🫂,:people_hugging:,people hugging,人們擁抱,:人的拥抱:
👯,:people_with_bunny_ears:,people with bunny ears,有兔耳朵的人,:戴兔耳朵的人:
🤼,:people_wrestling:,people wrestling,人們摔跤,:摔跤选手:
😣,:persevering_face:,persevering face,堅毅的臉,:痛苦:
🧑,:person:,person,人,:成人:
🚴,:person_biking:,person biking,騎自行車的人,:骑自行车:
🚴🏻,:person_biking_light_skin_tone:,person biking light skin tone,騎自行車的人淺膚色,:骑自行车_较浅肤色:
⛹️,:person_bouncing_ball:,person bouncing ball,人彈跳球,:玩球:
🙇,:person_bowing:,person bowing,鞠躬的人,:鞠躬:
🙇🏻,:person_bowing_light_skin_tone:,person bowing light skin tone,鞠躬的人淺膚色,:鞠躬_较浅肤色:
🧑🏿‍🦱,:person_dark_skin_tone_curly_hair:,person dark skin tone curly hair,人深色膚色捲髮,:成人_较深肤色卷发:
🤦,:person_facepalming:,person facepalming,人臉,:捂脸:
🧑‍🍼,:person_feeding_baby:,person feeding baby,餵養嬰兒的人,:哺乳的人:
🙅🏻,:person_gesturing_NO_light_skin_tone:,person gesturing NO light skin tone,打手勢的人沒有淺膚色,:禁止手势_较浅肤色:
💆,:person_getting_massage:,person getting massage,正在按摩的人,:按摩:
🧘🏻,:person_in_lotus_position_light_skin_tone:,person in lotus position light skin tone,盤蓮花的人淺膚色,:盘腿的人_较浅肤色:
🤵🏻,:person_in_tuxedo_light_skin_tone:,person in tuxedo light skin tone,穿燕尾服的淺膚色人,:穿燕尾服的人_较浅肤色:
🤹,:person_juggling:,person juggling,人雜耍,:抛接杂耍:
🏋️,:person_lifting_weights:,person lifting weights,舉重的人,:举重:
🧔🏻,:person_light_skin_tone_beard:,person light skin tone beard,人淺膚色鬍子,:有胡子的人_较浅肤色:
👱🏻,:person_light_skin_tone_blond_hair:,person light skin tone blond hair,人淺膚色金發,:金色头发的人_较浅肤色:
🧑🏻‍🦱,:person_light_skin_tone_curly_hair:,person light skin tone curly hair,人物淺膚色捲髮,:成人_较浅肤色卷发:
🧑🏼‍🦳,:person_medium-light_skin_tone_white_hair:,person medium-light skin tone white hair,人中淺膚色白頭髮,:成人_中等浅肤色白发:
🙋,:person_raising_hand:,person raising hand,舉手的人,:举手:
